,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
197,2646,M;C,SANDRO,Genoa,11,11,0,0.9
198,318,Por,MARCHETTI,Genoa,10,10,0,0.75
199,2759,Ds;Dc,CRISCITO,Genoa,10,10,0,0.9
200,819,Pc,FAVILLI,Genoa,9,9,0,0.6
201,245,A,PANDEV,Genoa,9,9,0,0.6
202,2083,Dd;Dc,BIRASCHI,Genoa,7,7,0,0.55
203,2651,Dc,LISANDRO LOPEZ,Genoa,7,7,0,
204,264,C;T,BESSA,Genoa,7,7,0,0.6
205,1976,M;C,MAZZITELLI,Genoa,6,6,0,0.55
206,236,E;C,LAZOVIC,Genoa,6,6,0,0.5
207,493,Ds;Dc,ZUKANOVIC,Genoa,6,6,0,0.6
208,78,Dc,SPOLLI,Genoa,6,6,0,0.75
209,433,C,HILJEMARK,Genoa,6,6,0,0.75
210,2856,M;C,ROLON,Genoa,5,5,0,0.45
211,2757,Dd;E,LAKICEVIC,Genoa,5,5,0,0.55
212,2293,C,OMEONGA,Genoa,4,4,0,0.3
213,2762,Pc,KOUAME',Genoa,3,3,0,
214,729,Dd;E,PEREIRA P,Genoa,3,3,0,
215,2758,Dc,GUNTER,Genoa,3,3,0,0.5
216,2760,C,CALLEGARI,Genoa,2,2,0,0.3
217,1843,Por,RADU I,Genoa,1,1,0,
218,2761,Por,VODISEK,Genoa,1,1,0,0.1
219,277,Pc,ICARDI,Inter,39,39,0,0.9
220,704,W;A,PERISIC,Inter,30,30,0,0.9
221,467,C;T,NAINGGOLAN,Inter,25,25,0,0.9
222,345,A,KEITA B,Inter,19,19,0,
223,322,Dc,DE VRIJ,Inter,17,17,0,0.9
224,250,Por,HANDANOVIC,Inter,16,16,0,0.9
225,2764,Pc,MARTINEZ L,Inter,16,16,0,
226,798,Dc,SKRINIAR,Inter,16,16,0,0.9
227,265,C;T,BROZOVIC,Inter,15,15,0,0.8
228,536,A,POLITANO,Inter,15,15,0,0.7
229,332,W,CANDREVA,Inter,14,14,0,0.6
230,523,Dd;E,VRSALJKO,Inter,14,14,0,0.75
231,181,M;C,VECINO,Inter,10,10,0,0.55
232,295,Ds;E,ASAMOAH,Inter,9,9,0,0.8
233,253,Dd;Ds;E,D'AMBROSIO,Inter,9,9,0,0.55
234,2325,A,KARAMOH,Inter,9,9,0,0.5
235,801,M;C,GAGLIARDINI,Inter,7,7,0,0.7
236,257,Dc,MIRANDA,Inter,7,7,0,0.55
237,172,C,BORJA VALERO,Inter,5,5,0,0.45
238,261,Dc,RANOCCHIA,Inter,4,4,0,0.4
239,2289,Ds;E,DALBERT,Inter,3,3,0,0.4
240,248,Por,BERNI,Inter,1,1,0,0.1
241,543,Por,PADELLI,Inter,1,1,0,0.2
242,2844,Pc,COLIDIO,Inter,1,1,0,0.1
243,2304,Pc,SALCEDO MORA,Inter,1,1,0,
244,2610,Pc,CRISTIANO RONALDO,Juventus,49,49,0,0.9
245,309,A,DYBALA,Juventus,37,37,0,0.9
246,2200,W,DOUGLAS COSTA,Juventus,26,26,0,0.8
247,2504,M;C,CAN ,Juventus,21,21,0,
