;Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.;Tit
211;1967;"C;T";GERSON;Fiorentina;11;11;0;0.65
225;2840;Pc;GRAICIAR;Fiorentina;1;1;0;0.3
233;2754;"Ds;Dc";HANCKO;Fiorentina;3;3;0;0.3
241;2312;Dc;HRISTOV;Fiorentina;1;1;0;0.3
285;2387;Por;LAFONT;Fiorentina;10;10;0;0.9
289;141;"Dd;E";LAURINI;Fiorentina;3;3;0;0.2
342;2164;"Dd;Dc";MILENKOVIC;Fiorentina;7;7;0;0.6
364;2830;"M;C";NORGAARD;Fiorentina;5;5;0;0.55
369;2087;"Ds;E";OLIVERA M;Fiorentina;2;2;0;0.2
406;2309;Dc;PEZZELLA GER;Fiorentina;10;10;0;0.9
462;2058;"M;C";SANCHEZ C;Fiorentina;4;4;0;0.3
467;150;T;SAPONARA;Fiorentina;9;9;0;0.4
482;2061;Pc;SIMEONE;Fiorentina;25;25;0;0.9
490;2839;A;SOTTIL;Fiorentina;2;2;0;0.1
511;606;A;THEREAU;Fiorentina;13;13;0;0.6
527;2174;"Dd;E";VENUTI;Fiorentina;2;2;0;0.35
530;2215;C;VERETOUT;Fiorentina;17;17;0;0.9
537;2165;Dc;VITOR HUGO;Fiorentina;6;6;0;0.8
540;2841;Pc;VLAHOVIC;Fiorentina;1;1;0;0.3
550;2207;A;ZEKHNINI;Fiorentina;2;2;0;0.3
16;515;Dc;ARIAUDO;Frosinone;4;4;0;0.7
26;799;Por;BARDI;Frosinone;1;1;0;0.05
37;2105;E;BEGHETTO;Frosinone;2;2;0;0.2
70;2810;"Dd;Ds;Dc";BRIGHENTI;Frosinone;3;3;0;0.4
102;202;"M;C";CHIBSAH;Frosinone;3;3;0;0.5
106;2812;A;CIANO;Frosinone;10;10;0;0.55
109;212;Pc;CIOFANI D;Frosinone;5;5;0;0.35
110;194;"Dd;E";CIOFANI M;Frosinone;4;4;0;0.65
124;57;"M;C";CRISETIG;Frosinone;6;6;0;0.6
163;213;Pc;DIONISI;Frosinone;10;10;0;0.85
212;244;"Dd;E";GHIGLIONE;Frosinone;2;2;0;0.1
