,Nome,GP,STD,Mean,Titolare,Squadra
81,CACCIATORE,33,1.0905933886623096,5.924242424242424,0.868421052631579,Chievo
82,CACERES,20,1.632523071490069,6.425,0.5263157894736842,Lazio
83,CAICEDO,15,2.1117584638219893,6.433333333333334,0.39473684210526316,Lazio
84,CALABRIA,18,1.5267227492053614,6.25,0.47368421052631576,Milan
85,CALDARA,24,1.6724537211161816,6.416666666666667,0.631578947368421,Atalanta
86,CALHANOGLU,31,1.909089745379713,6.806451612903226,0.8157894736842105,Milan
87,CALLEJON,38,2.334873839498119,7.315789473684211,1.0,Napoli
88,CALVANO,13,0.5250152622934172,5.769230769230769,0.34210526315789475,Verona
89,CANCELO,23,1.2640514574005766,6.434782608695652,0.6052631578947368,Inter
90,CANDREVA,34,0.9789450103725609,6.25,0.8947368421052632,Inter
91,CANNAVARO,16,0.6700435309241731,5.46875,0.42105263157894735,Sassuolo
92,CAPEZZI,3,0.28867513459481287,6.333333333333333,0.07894736842105263,Sampdoria
93,CAPRADOSSI,2,0.0,6.0,0.05263157894736842,Roma
94,CAPRARI,32,1.7224209331541875,6.28125,0.8421052631578947,Sampdoria
95,CAPUANO,24,0.7469745741942985,5.583333333333333,0.631578947368421,Crotone
96,CARACCIOLO A,33,1.5466238891680986,5.7272727272727275,0.868421052631579,Verona
97,CASSATA,7,2.0902266908274854,5.928571428571429,0.18421052631578946,Sassuolo
98,CASTAGNE,19,0.7863975156570492,5.921052631578948,0.5,Atalanta
99,CASTAN,14,0.97001755960089,5.464285714285714,0.3684210526315789,Cagliari
100,CASTRO,25,2.0766559657295187,6.5,0.6578947368421053,Chievo
101,CATALDI,29,1.0407343939823137,5.620689655172414,0.7631578947368421,Benevento
102,CECCHERINI,37,1.1006072579882147,5.824324324324325,0.9736842105263158,Crotone
103,CENTURION,2,0.0,5.5,0.05263157894736842,Genoa
104,CEPPITELLI,25,1.702449216080566,6.24,0.6578947368421053,Cagliari
105,CERCI,23,1.3998164758309943,6.130434782608695,0.6052631578947368,Verona
106,CESAR,9,0.5270462766947299,5.444444444444445,0.23684210526315788,Chievo
107,CETER,5,0.3535533905932738,5.5,0.13157894736842105,Cagliari
108,CHIBSAH,14,0.7119467198239852,5.107142857142857,0.3684210526315789,Benevento
109,CHIELLINI,24,0.5299029170039313,6.208333333333333,0.631578947368421,Juventus
110,CHIESA,36,1.6872538033222497,6.805555555555555,0.9473684210526315,Fiorentina
111,CHIRICHES,7,0.3933978962347216,5.714285714285714,0.18421052631578946,Napoli
112,CICIRETTI,12,1.5441728196577278,6.541666666666667,0.3157894736842105,Benevento
113,CIGARINI,26,1.3834182859302366,5.923076923076923,0.6842105263157895,Cagliari
114,CIONEK,15,0.9411239481143203,6.2,0.39473684210526316,SPAL
115,CODA M,20,2.4755382189908137,6.375,0.5263157894736842,Benevento
116,COFIE,10,0.6346477588219923,5.75,0.2631578947368421,Genoa
117,CONSIGLI,37,2.1363084547447295,4.72972972972973,0.9736842105263158,Sassuolo
118,CONTI,2,0.3535533905932738,6.25,0.05263157894736842,Milan
119,COP,2,0.7071067811865476,5.5,0.05263157894736842,Cagliari
120,CORDAZ,38,1.7872732475620297,4.4605263157894735,1.0,Crotone
121,CORNELIUS,20,1.87697264652138,6.375,0.5263157894736842,Atalanta
122,COSSU,7,0.7319250547113999,5.928571428571429,0.18421052631578946,Cagliari
123,COSTA,16,0.8563488385776752,5.25,0.42105263157894735,Benevento
124,COSTA F,22,0.6966990816626719,5.840909090909091,0.5789473684210527,SPAL
125,CRAGNO,29,1.9203666008794777,4.793103448275862,0.7631578947368421,Cagliari
126,CREMONESI,5,0.5477225575051661,5.1,0.13157894736842105,SPAL
127,CRISETIG,8,0.4629100498862757,5.5,0.21052631578947367,Bologna
128,CRISTANTE,36,2.1445760301762093,6.972222222222222,0.9473684210526315,Atalanta
129,CRISTOFORO,4,0.9128709291752769,5.5,0.10526315789473684,Fiorentina
