,Nome,Mean19,STD19,QuotFin19
81,POLITANO,6.8291177591187955,1.8978761623591571,16.566440028487968
82,STROOTMAN,6.226715480986834,1.0669192311287572,14.06111675983507
83,ABATE,5.535705798644265,0.6383106312619174,2.075394558002994
84,ALBIOL,6.346200632214719,1.1731483020157343,17.066715726589877
85,BENASSI,6.059295133652361,1.2281516814051374,13.401705830854256
86,BENATIA,6.744419455766421,1.3942035462456355,16.046891232581366
87,CIGARINI,6.047261395518657,1.326528063745982,12.468841352069095
88,DE ROSSI,5.881479329710944,0.9381417875666577,10.729474976995807
89,DE SILVESTRI,6.136715555547161,1.2039608858368775,12.503607752366856
90,DE VRIJ,7.022554217290041,1.6839322527418785,21.790126860787144
91,DONSAH,6.133309227053016,1.2272437923444732,9.496785712328194
92,GERSON,5.651786231266781,1.0610934326163965,11.336281742693018
